MIKF01000001.1	284809	284857	2	2	1	2	0	44
MIKF01000010.1	291365	291412	1	1	1	1	0	20
MIKF01000100.1	9798	9866	2	2	1	1	0	13
MIKF01000100.1	31024	31080	2	2	1	1	0	32
MIKF01000100.1	92256	92305	2	2	1	2	0	35
MIKF01000100.1	92356	92414	2	2	1	1	0	16
MIKF01000102.1	44354	44401	2	2	1	2	0	37
MIKF01000104.1	51351	51414	2	2	1	3	0	29
MIKF01000104.1	51728	51874	2	2	1	2	0	22
MIKF01000104.1	52185	52410	1	1	0	1	0	15
MIKF01000104.1	52594	52802	1	1	1	1	0	44
MIKF01000105.1	86104	86155	1	1	1	1	0	32
MIKF01000107.1	36037	36093	2	2	1	1	0	44
MIKF01000109.1	34303	34359	2	2	1	1	0	6
MIKF01000109.1	67221	67310	1	1	1	1	0	20
MIKF01000113.1	23948	24068	1	1	1	1	0	24
MIKF01000113.1	24140	24218	1	1	1	2	0	43
MIKF01000113.1	24822	24871	1	1	1	1	0	34
MIKF01000114.1	77025	77072	1	1	1	3	0	43
MIKF01000118.1	1531	1909	1	1	1	1	0	28
MIKF01000118.1	96754	96802	1	1	0	2	0	23
MIKF01000012.1	273175	273227	2	2	1	1	0	29
MIKF01000119.1	74125	89903	1	1	0	0	1	15
MIKF01000120.1	54282	54335	1	1	1	1	0	30
MIKF01000122.1	58218	58270	2	2	1	1	0	29
MIKF01000123.1	28289	28343	1	1	1	2	0	48
MIKF01000123.1	105091	105167	2	2	1	2	0	32
MIKF01000124.1	40436	40499	2	2	1	6	0	26
MIKF01000124.1	40571	40634	2	2	1	6	0	26
MIKF01000124.1	48220	48304	2	2	1	2	0	22
MIKF01000125.1	94307	94430	2	2	0	4	0	13
MIKF01000126.1	74001	74058	2	2	1	2	0	36
MIKF01000126.1	74307	74564	2	2	1	1	0	21
MIKF01000127.1	90055	91318	1	1	0	1	0	19
MIKF01000013.1	32331	32384	1	1	1	1	0	28
MIKF01000013.1	32496	32549	1	1	1	4	0	32
MIKF01000130.1	74574	74627	1	1	1	3	0	42
MIKF01000131.1	5657	5748	1	1	1	2	0	45
MIKF01000131.1	67293	67741	2	2	1	2	0	30
MIKF01000132.1	44315	44364	2	2	1	1	0	46
MIKF01000132.1	62468	62517	2	2	1	1	0	9
MIKF01000132.1	62648	62757	2	2	1	1	0	13
MIKF01000132.1	62771	62932	2	2	1	1	0	13
MIKF01000132.1	71727	71799	1	1	1	1	0	9
MIKF01000132.1	73596	73690	1	3	1	1	0	5
MIKF01000133.1	26875	27108	2	2	1	1	0	16
MIKF01000133.1	43257	43314	2	2	1	1	0	19
MIKF01000133.1	51164	51244	2	2	1	2	0	27
MIKF01000134.1	20025	20078	2	2	1	3	0	12
MIKF01000138.1	52575	52637	2	2	1	2	0	7
MIKF01000138.1	88481	88532	1	1	1	1	0	36
MIKF01000014.1	112160	112208	1	1	1	1	1	35
