gene_id	gene_name	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
gene-CEP52_000001	CEP52_000001	699.795973872096	697.439	693.43	708.442	699.795973872096	699.795973872096	699.795973872096	699.795973872096	699.795973872096	699.795973872096	699.795973872096	699.959	699.795973872096	699.795973872096	699.795973872096	699.795973872096
gene-CEP52_000002	CEP52_000002	737.859121058863	737.859121058863	737.859121058863	737.859121058863	739.267	737.859121058863	737.859121058863	737.859121058863	737.859121058863	737.859121058863	739.005	737.859121058863	737.859121058863	737.859121058863	737.859121058863	735.312
gene-CEP52_000003	CEP52_000003	863.432173230764	865.439	861.43	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764	863.432173230764
gene-CEP52_000004	CEP52_000004	606.298	610.439	606.43	621.442	610.267	610.174830980567	610.174830980567	610.174830980567	610.174830980567	610.174830980567	610.174830980567	610.174830980567	610.174830980567	610.174830980567	610.174830980567	606.312
gene-CEP52_000005	CEP52_000005	283.648495324759	283.7	283.648495324759	283.648495324759	283.597	283.648495324759	283.648495324759	283.648495324759	283.648495324759	283.648495324759	283.648495324759	283.648495324759	283.648495324759	283.648495324759	283.648495324759	283.648495324759
gene-CEP52_000006	CEP52_000006	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875	190.1401875
gene-CEP52_000007	CEP52_000007	1062.298	1066.439	1062.43	1077.442	1066.267	1061.311	1065.48708536239	1065.48708536239	1065.48708536239	1065.48708536239	1065.48708536239	1065.48708536239	1065.48708536239	1065.48708536239	1065.48708536239	1062.312
gene-CEP52_000008	CEP52_000008	876.298	880.439	876.43	891.442	880.267	875.311	879.484400549768	879.484400549768	879.484400549768	879.484400549768	879.484400549768	879.484400549768	879.484400549768	879.484400549768	879.484400549768	876.312
gene-CEP52_000009	CEP52_000009	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365	1033.2365
gene-CEP52_000010	CEP52_000010	4104.298	4108.439	4104.43	4106.54607377044	4108.267	4106.54607377044	4106.799	4106.54607377044	4106.54607377044	4109.281	4106.54607377044	4106.54607377044	4106.54607377044	4106.54607377044	4106.54607377044	4104.312
gene-CEP52_000011	CEP52_000011	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365	1036.2365
gene-CEP52_000012	CEP52_000012	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298	1608.298
